name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Hoba,11890,Valid,"Iron, IVB",60000000.0,Found,1920.0,-19.58333,17.91667,"(-19.583330, 17.916670)"
Cape York,5262,Valid,"Iron, IIIAB",58200000.0,Found,1818.0,76.13333,-64.93333,"(76.133330, -64.933330)"
Campo del Cielo,5247,Valid,"Iron, IAB-MG",50000000.0,Found,1575.0,-27.46667,-60.58333,"(-27.466670, -60.583330)"
Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000.0,Found,1891.0,35.05,-111.03333,"(35.050000, -111.033330)"
Armanty,2335,Valid,"Iron, IIIE",28000000.0,Found,1898.0,47.0,88.0,"(47.000000, 88.000000)"
Gibeon,10912,Valid,"Iron, IVA",26000000.0,Found,1836.0,-25.5,18.0,"(-25.500000, 18.000000)"
Chupaderos,5363,Valid,"Iron, IIIAB",24300000.0,Found,1852.0,27.0,-105.1,"(27.000000, -105.100000)"
Mundrabilla,16852,Valid,"Iron, IAB-ung",24000000.0,Found,1911.0,-30.78333,127.55,"(-30.783330, 127.550000)"
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000.0,Fell,1947.0,46.16,134.65333,"(46.160000, 134.653330)"
Bacubirito,4919,Valid,"Iron, ungrouped",22000000.0,Found,1863.0,26.2,-107.83333,"(26.200000, -107.833330)"
Mbosi,15456,Valid,"Iron, ungrouped",16000000.0,Found,1930.0,-9.11667,33.06667,"(-9.116670, 33.066670)"
Willamette,24269,Valid,"Iron, IIIAB",15500000.0,Found,1902.0,45.36667,-122.58333,"(45.366670, -122.583330)"
Morito,16745,Valid,"Iron, IIIAB",10100000.0,Found,1600.0,27.05,-105.43333,"(27.050000, -105.433330)"
Nantan,16906,Valid,"Iron, IAB-MG",9500000.0,Found,1958.0,25.1,107.7,"(25.100000, 107.700000)"
Cranbourne,5463,Valid,"Iron, IAB-MG",8600000.0,Found,1854.0,-38.1,145.3,"(-38.100000, 145.300000)"
Santa Catharina,23162,Valid,"Iron, IAB-ung",7000000.0,Found,1875.0,-26.21667,-48.6,"(-26.216670, -48.600000)"
Bendegó,5015,Valid,"Iron, IC",5360000.0,Found,1784.0,-10.11667,-39.2,"(-10.116670, -39.200000)"
Brenham,5136,Valid,"Pallasite, PMG-an",4300000.0,Found,1882.0,37.5825,-99.16361,"(37.582500, -99.163610)"
Jilin,12171,Valid,H5,4000000.0,Fell,1976.0,44.05,126.16667,"(44.050000, 126.166670)"
Vaca Muerta,24142,Valid,Mesosiderite-A1,3828000.0,Found,1861.0,-25.75,-70.5,"(-25.750000, -70.500000)"
Youndegin,30374,Valid,"Iron, IAB-MG",3800000.0,Found,1884.0,-32.1,117.71667,"(-32.100000, 117.716670)"
Al Haggounia 001,44857,Valid,Aubrite,3000000.0,Found,2006.0,27.5,-12.5,"(27.500000, -12.500000)"
Yingde,30363,Valid,"Iron, IVA",3000000.0,Found,1964.0,24.2,113.4,"(24.200000, 113.400000)"
Toluca,24018,Valid,"Iron, IAB-sLL",3000000.0,Found,1776.0,19.56667,-99.56667,"(19.566670, -99.566670)"
Xifu,54608,Valid,"Iron, IAB complex",3000000.0,Found,2004.0,36.3,120.48333,"(36.300000, 120.483330)"
Old Woman,18007,Valid,"Iron, IIAB",2753000.0,Found,1976.0,34.46667,-115.23333,"(34.466670, -115.233330)"
Wabar,24194,Valid,"Iron, IIIAB",2550000.0,Found,1863.0,21.49972,50.47222,"(21.499720, 50.472220)"
Huckitta,11922,Valid,"Pallasite, PMG-an",2300000.0,Found,1924.0,-22.36667,135.76667,"(-22.366670, 135.766670)"
Navajo,16926,Valid,"Iron, IIAB",2184000.0,Found,1921.0,35.33333,-109.5,"(35.333330, -109.500000)"
Coahuila,5387,Valid,"Iron, IIAB",2100000.0,Found,1837.0,28.7,-102.73333,"(28.700000, -102.733330)"
Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)"
Henbury,11872,Valid,"Iron, IIIAB",2000000.0,Found,1931.0,-24.56667,133.16667,"(-24.566670, 133.166670)"
Zhaoping,54609,Valid,"Iron, IAB complex",2000000.0,Found,1983.0,24.23333,111.18333,"(24.233330, 111.183330)"
Campinorte,52093,Valid,"Iron, ungrouped",2000000.0,Found,1992.0,-14.258,-49.15917,"(-14.258000, -49.159170)"
Santa Luzia,23166,Valid,"Iron, IIAB",1918000.0,Found,1921.0,-16.26667,-47.95,"(-16.266670, -47.950000)"
Ghubara,10911,Valid,L5,1750000.0,Found,1954.0,19.22778,56.14278,"(19.227780, 56.142780)"
Odessa (iron),17985,Valid,"Iron, IAB-MG",1600000.0,Found,1922.0,31.71667,-102.4,"(31.716670, -102.400000)"
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000.0,Found,2009.0,22.01833,26.08778,"(22.018330, 26.087780)"
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000.0,Found,1867.0,30.4,-107.8,"(30.400000, -107.800000)"
Bitburg,5062,Valid,"Iron, IAB complex",1500000.0,Found,1805.0,49.96667,6.53333,"(49.966670, 6.533330)"
Quinn Canyon,22364,Valid,"Iron, IIIAB",1450000.0,Found,1908.0,38.08333,-115.53333,"(38.083330, -115.533330)"
Charcas,5326,Valid,"Iron, IIIAB",1400000.0,Found,1804.0,23.08333,-101.01667,"(23.083330, -101.016670)"
Santa Apolonia,23160,Valid,"Iron, IIIAB",1316000.0,Found,1872.0,19.21667,-98.3,"(19.216670, -98.300000)"
Tsarev,24058,Valid,L5,1225300.0,Found,1968.0,48.7,45.7,"(48.700000, 45.700000)"
Alkhamasin,475,Valid,"Iron, IIAB",1200000.0,Found,1973.0,20.6,44.88333,"(20.600000, 44.883330)"
Kouga Mountains,12352,Valid,"Iron, IIIAB",1173000.0,Found,1903.0,-33.61667,24.0,"(-33.616670, 24.000000)"
Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500.0,Found,1938.0,41.98,-120.54167,"(41.980000, -120.541670)"
Murnpeowie,16878,Valid,"Iron, IC",1143000.0,Found,1909.0,-29.58333,139.9,"(-29.583330, 139.900000)"
Kunya-Urgench,12379,Valid,H5,1100000.0,Fell,1998.0,42.25,59.2,"(42.250000, 59.200000)"
Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948.0,39.68333,-99.86667,"(39.683330, -99.866670)"
Fukang,34491,Valid,"Pallasite, PMG",1003000.0,Found,2000.0,44.43333,87.63333,"(44.433330, 87.633330)"
Bilibino,5046,Valid,"Iron, IIAB",1000000.0,Found,1981.0,67.3,160.8,"(67.300000, 160.800000)"
Zacatecas (1792),30381,Valid,"Iron, ungrouped",1000000.0,Found,1792.0,22.81667,-102.56667,"(22.816670, -102.566670)"
Los Sauces,14710,Valid,Iron,997000.0,Found,1937.0,-29.41667,-66.85,"(-29.416670, -66.850000)"
Tucson,24061,Valid,"Iron, ungrouped",975000.0,Found,1850.0,31.85,-110.96667,"(31.850000, -110.966670)"
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000.0,Found,1837.0,35.78333,-83.25,"(35.783330, -83.250000)"
Imilac,12025,Valid,"Pallasite, PMG",920000.0,Found,1822.0,-24.20333,-68.80667,"(-24.203330, -68.806670)"
Zhigansk,30405,Valid,"Iron, IIIAB",900000.0,Found,1966.0,68.0,128.3,"(68.000000, 128.300000)"
Bondoc,5103,Valid,Mesosiderite-B4,888600.0,Found,1956.0,13.51667,122.45,"(13.516670, 122.450000)"
Santa Rosa,23167,Valid,"Iron, IC",825000.0,Found,1810.0,5.91667,-73.0,"(5.916670, -73.000000)"
Brahin,5130,Valid,"Pallasite, PMG",823000.0,Found,1810.0,52.5,30.33333,"(52.500000, 30.333330)"
Red River,22548,Valid,"Iron, IIIAB",800000.0,Found,1808.0,32.0,-95.0,"(32.000000, -95.000000)"
Sardis,23177,Valid,"Iron, IAB complex",800000.0,Found,1940.0,32.94889,-81.865,"(32.948890, -81.865000)"
Wolf Creek,24326,Valid,"Iron, IIIAB",760000.0,Found,1947.0,-19.3,127.76667,"(-19.300000, 127.766670)"
Esquel,10054,Valid,"Pallasite, PMG",755000.0,Found,1951.0,-42.9,-71.33333,"(-42.900000, -71.333330)"
Gladstone (iron),10920,Valid,"Iron, IAB-MG",736600.0,Found,1915.0,-23.9,151.3,"(-23.900000, 151.300000)"
Mount Dooling,16771,Valid,"Iron, IC",734000.0,Found,1909.0,-29.45,119.71667,"(-29.450000, 119.716670)"
Krasnojarsk,12356,Valid,"Pallasite, PMG-an",700000.0,Found,1749.0,54.9,91.8,"(54.900000, 91.800000)"
Plainview (1917),18841,Valid,H5,700000.0,Found,1917.0,34.11667,-101.78333,"(34.116670, -101.783330)"
Davis Mountains,6615,Valid,"Iron, IIIAB",689000.0,Found,1903.0,30.75,-104.25,"(30.750000, -104.250000)"
Arispe,2332,Valid,"Iron, IC",683000.0,Found,1896.0,30.33333,-109.98333,"(30.333330, -109.983330)"
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000.0,Found,1967.0,29.85861,-2.645,"(29.858610, -2.645000)"
Itapuranga,12057,Valid,"Iron, IAB-MG",628000.0,Found,,-15.58333,-50.15,"(-15.583330, -50.150000)"
La Caille,12393,Valid,"Iron, ungrouped",626000.0,Found,1828.0,43.73333,6.78333,"(43.733330, 6.783330)"
Jianshi,12087,Valid,"Iron, IIIAB",600000.0,Fell,1890.0,30.80833,109.5,"(30.808330, 109.500000)"
Adzhi-Bogdo (iron),389,Valid,"Iron, IAB complex",582000.0,Found,1952.0,44.86667,95.41667,"(44.866670, 95.416670)"
Long Island,14694,Valid,L6,564000.0,Found,1891.0,39.93333,-99.6,"(39.933330, -99.600000)"
Jiddat al Harasis 073,12135,Valid,L6,550000.0,Found,2002.0,19.7,55.73333,"(19.700000, 55.733330)"
Rateldraai,22397,Valid,"Iron, IIIAB",549000.0,Found,1909.0,-28.83333,21.13333,"(-28.833330, 21.133330)"
Drum Mountains,7733,Valid,"Iron, IIIAB",529000.0,Found,1944.0,39.5,-112.9,"(39.500000, -112.900000)"
Grant,10957,Valid,"Iron, IIIAB",525000.0,Found,1929.0,35.16667,-107.88333,"(35.166670, -107.883330)"
Tamentit,23798,Valid,"Iron, IIIAB",510000.0,Found,1864.0,27.71667,-0.25,"(27.716670, -0.250000)"
Trenton,24045,Valid,"Iron, IIIAB",505000.0,Found,1858.0,43.36667,-88.13333,"(43.366670, -88.133330)"
Haig,11471,Valid,"Iron, IIIAB",503000.0,Found,1951.0,-31.38333,125.63333,"(-31.383330, 125.633330)"
Prambanan,18884,Valid,"Iron, ungrouped",500000.0,Found,1797.0,-7.56667,110.83333,"(-7.566670, 110.833330)"
Wildara,24265,Valid,H5,500000.0,Found,1968.0,-28.23333,120.85,"(-28.233330, 120.850000)"
Knyahinya,12335,Valid,L/LL5,500000.0,Fell,1866.0,48.9,22.4,"(48.900000, 22.400000)"
El Timbu,7820,Valid,Iron,500000.0,Found,1942.0,-33.11667,-60.96667,"(-33.116670, -60.966670)"
Boxhole,5126,Valid,"Iron, IIIAB",500000.0,Found,1937.0,-22.61667,135.2,"(-22.616670, 135.200000)"
Ochansk,17979,Valid,H4,500000.0,Fell,1887.0,57.78333,55.26667,"(57.783330, 55.266670)"
Jepara,53840,Valid,"Pallasite, PMG",499500.0,Found,2008.0,-6.6,110.73333,"(-6.600000, 110.733330)"
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000.0,Found,1968.0,48.48333,3.58333,"(48.483330, 3.583330)"
Carbo,5266,Valid,"Iron, IID",454000.0,Found,1923.0,29.66667,-111.5,"(29.666670, -111.500000)"
Etter,10062,Valid,L5,450000.0,Found,1965.0,35.98333,-101.9,"(35.983330, -101.900000)"
Sayh al Uhaymir 001,23193,Valid,L5,450000.0,Found,2000.0,20.51667,56.66667,"(20.516670, 56.666670)"
Wallapai,24206,Valid,"Iron, IID",430000.0,Found,1927.0,35.8,-113.7,"(35.800000, -113.700000)"
Yanhuitlan,30349,Valid,"Iron, IVA",421000.0,Found,1825.0,17.53333,-97.35,"(17.533330, -97.350000)"
Paragould,18101,Valid,LL5,408000.0,Fell,1930.0,36.06667,-90.5,"(36.066670, -90.500000)"
Allan Hills A76009,1316,Valid,L6,407000.0,Found,1976.0,-76.71667,159.66667,"(-76.716670, 159.666670)"
Pei Xian,18784,Valid,Iron,400000.0,Found,1917.0,34.7,117.0,"(34.700000, 117.000000)"
Augustinovka,4898,Valid,"Iron, IIIAB",400000.0,Found,1890.0,48.06667,35.08333,"(48.066670, 35.083330)"
Mount Joy,16779,Valid,"Iron, IIAB",384000.0,Found,1887.0,39.78333,-77.21667,"(39.783330, -77.216670)"
Mont Dieu,16722,Valid,"Iron, ungrouped",360000.0,Found,1994.0,49.55,4.86667,"(49.550000, 4.866670)"
Longtian,14696,Valid,"Iron, IIIAB",350000.0,Found,1991.0,27.35,108.5,"(27.350000, 108.500000)"
Hugoton,11984,Valid,H5,350000.0,Found,1927.0,37.2,-101.35,"(37.200000, -101.350000)"
Kokstad,12341,Valid,"Iron, IIIE",341000.0,Found,1884.0,-30.55,29.41667,"(-30.550000, 29.416670)"
Millbillillie,16643,Valid,Eucrite-mmict,330000.0,Fell,1960.0,-26.45,120.36667,"(-26.450000, 120.366670)"
Bjurböle,5064,Valid,L/LL4,330000.0,Fell,1899.0,60.4,25.8,"(60.400000, 25.800000)"
Mount Edith,16773,Valid,"Iron, IIIAB",326000.0,Found,1913.0,-22.5,116.16667,"(-22.500000, 116.166670)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,Fell,1990.0,53.66667,55.98333,"(53.666670, 55.983330)"
Seymchan,23510,Valid,"Pallasite, PMG",323300.0,Found,1967.0,62.9,152.43333,"(62.900000, 152.433330)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.416670, -94.833330)"
Tamarugal,23794,Valid,"Iron, IIIAB",320000.0,Found,1903.0,-20.8,-69.66667,"(-20.800000, -69.666670)"
Guffey,11441,Valid,"Iron, ungrouped",309000.0,Found,1907.0,38.76667,-105.51667,"(38.766670, -105.516670)"
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000.0,Found,1967.0,-29.43333,-50.91667,"(-29.433330, -50.916670)"
Bruderheim,5156,Valid,L6,303000.0,Fell,1960.0,53.9,-112.88333,"(53.900000, -112.883330)"
Gressk,11200,Valid,"Iron, IIAB",303000.0,Found,1955.0,53.23333,27.33333,"(53.233330, 27.333330)"
Tianlin,23983,Valid,"Iron, IAB complex",300000.0,Found,1956.0,24.3,106.1,"(24.300000, 106.100000)"
North Chile,17001,Valid,"Iron, IIAB",300000.0,Found,1875.0,-23.0,-69.0,"(-23.000000, -69.000000)"
Putinga,18905,Valid,L6,300000.0,Fell,1937.0,-29.03333,-53.05,"(-29.033330, -53.050000)"
Mocs,16709,Valid,L5-6,300000.0,Fell,1882.0,46.8,24.03333,"(46.800000, 24.033330)"
Morland,16746,Valid,H6,295000.0,Found,1890.0,39.33333,-100.06667,"(39.333330, -100.066670)"
Estacado,10057,Valid,H6,290000.0,Found,1883.0,33.9,-101.75,"(33.900000, -101.750000)"
Bur-Abor,5166,Valid,"Iron, IIIAB",290000.0,Found,1997.0,3.98333,41.65,"(3.983330, 41.650000)"
Morasko,16741,Valid,"Iron, IAB-MG",290000.0,Found,1914.0,52.46667,16.9,"(52.466670, 16.900000)"
Clovis (no. 1),5385,Valid,H3.6,283000.0,Found,1961.0,34.3,-103.13472,"(34.300000, -103.134720)"
Rio Limay,22609,Valid,L5,280000.0,Found,1995.0,-39.85,-69.48333,"(-39.850000, -69.483330)"
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000.0,Found,1971.0,-16.21667,-50.3,"(-16.216670, -50.300000)"
South Dahna,23677,Valid,"Iron, IAB complex",275000.0,Found,1957.0,22.56667,48.3,"(22.566670, 48.300000)"
Mount Padbury,16785,Valid,Mesosiderite-A1,272000.0,Found,1964.0,-25.66667,118.1,"(-25.666670, 118.100000)"
Saint-Séverin,23102,Valid,LL6,271000.0,Fell,1966.0,45.3,0.23333,"(45.300000, 0.233330)"
Lake Murray,12446,Valid,"Iron, IIAB",270000.0,Found,1933.0,34.1,-97.0,"(34.100000, -97.000000)"
Miles,16641,Valid,"Iron, IIE",265000.0,Found,1992.0,-27.83333,150.33333,"(-27.833330, 150.333330)"
Potter,18878,Valid,L6,261000.0,Found,1941.0,41.23333,-103.3,"(41.233330, -103.300000)"
Suizhou,23738,Valid,L6,260000.0,Fell,1986.0,31.61667,113.46667,"(31.616670, 113.466670)"
Tishomingo,24010,Valid,"Iron, ungrouped",260000.0,Found,1965.0,34.25,-96.68333,"(34.250000, -96.683330)"
Dalgety Downs,5507,Valid,L4,257000.0,Found,1941.0,-25.33333,116.18333,"(-25.333330, 116.183330)"
Boguslavka,5098,Valid,"Iron, IIAB",256000.0,Fell,1916.0,44.55,131.63333,"(44.550000, 131.633330)"
Dhofar 020,6719,Valid,H4/5,256000.0,Found,2000.0,19.03333,54.51667,"(19.033330, 54.516670)"
Uegit,24105,Valid,"Iron, IIIAB",252000.0,Found,1921.0,3.81667,43.33333,"(3.816670, 43.333330)"
Netschaëvo,16949,Valid,"Iron, IIE-an",250000.0,Found,1846.0,54.23333,35.15,"(54.233330, 35.150000)"
Pultusk,18901,Valid,H5,250000.0,Fell,1868.0,52.76667,21.26667,"(52.766670, 21.266670)"
Omolon,18019,Valid,"Pallasite, PMG",250000.0,Fell,1981.0,64.02,161.80833,"(64.020000, 161.808330)"
Shangdu,23523,Valid,"Iron, IIIAB",247000.0,Found,1957.0,42.5,114.0,"(42.500000, 114.000000)"
St. Genevieve County,23086,Valid,"Iron, IIIF",244500.0,Found,1888.0,37.96667,-90.31667,"(37.966670, -90.316670)"
El Hammami,7806,Valid,H5,240000.0,Found,1997.0,23.28333,-10.81667,"(23.283330, -10.816670)"
Sacramento Mountains,22794,Valid,"Iron, IIIAB",237200.0,Found,1890.0,32.91667,-104.66667,"(32.916670, -104.666670)"
Muonionalusta,16873,Valid,"Iron, IVA",230000.0,Found,1906.0,67.8,23.1,"(67.800000, 23.100000)"
Homestead,11901,Valid,L5,230000.0,Fell,1875.0,41.8,-91.86667,"(41.800000, -91.866670)"
New Concord,16953,Valid,L6,230000.0,Fell,1860.0,40.0,-81.76667,"(40.000000, -81.766670)"
Alfianello,466,Valid,L6,228000.0,Fell,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
Bear Creek,4982,Valid,"Iron, IIIAB",227000.0,Found,1866.0,39.6,-105.3,"(39.600000, -105.300000)"
Guixi,11446,Valid,"Iron, IIIAB",220000.0,Found,,28.28333,117.18333,"(28.283330, 117.183330)"
Holbrook,11894,Valid,L/LL6,220000.0,Fell,1912.0,34.9,-110.18333,"(34.900000, -110.183330)"
Youxi,55793,Valid,Mesosiderite-C,218000.0,Found,2006.0,26.06,118.01,"(26.060000, 118.010000)"
Acuña,373,Valid,"Iron, IIIAB",217700.0,Found,1981.0,29.31667,-100.96667,"(29.316670, -100.966670)"
Ssyromolotovo,23694,Valid,"Iron, IIIAB",217000.0,Found,1873.0,58.61667,98.93333,"(58.616670, 98.933330)"
Chinga,5353,Valid,"Iron, ungrouped",209400.0,Found,1913.0,51.05833,94.4,"(51.058330, 94.400000)"
Barratta,4951,Valid,L4,200000.0,Found,1845.0,-35.3,144.56667,"(-35.300000, 144.566670)"
Kainsaz,12229,Valid,CO3.2,200000.0,Fell,1937.0,55.43333,53.25,"(55.433330, 53.250000)"
Jiddat al Harasis 055,12119,Valid,L4-5,200000.0,Found,2004.0,19.65167,55.69,"(19.651670, 55.690000)"
Liangcheng,14645,Valid,"Iron, IIIAB",200000.0,Found,1959.0,40.5,112.5,"(40.500000, 112.500000)"
Kunashak,12377,Valid,L6,200000.0,Fell,1949.0,55.78333,61.36667,"(55.783330, 61.366670)"
Moshesh,16756,Valid,H,200000.0,Found,,-30.1,28.71667,"(-30.100000, 28.716670)"
Patos de Minas (octahedrite),18114,Valid,"Iron, IAB complex",200000.0,Found,1925.0,-18.58333,-46.53333,"(-18.583330, -46.533330)"
Saratov,23176,Valid,L4,200000.0,Fell,1918.0,52.55,46.55,"(52.550000, 46.550000)"
Porto Alegre,52091,Valid,"Iron, IIIE",200000.0,Found,2005.0,-30.03306,-51.23,"(-30.033060, -51.230000)"
Dimmitt,7645,Valid,H3.7,200000.0,Found,1942.0,34.58333,-102.16667,"(34.583330, -102.166670)"
Pallasovka,34061,Valid,"Pallasite, PMG",198000.0,Found,1990.0,49.86667,46.61167,"(49.866670, 46.611670)"
Kenton County,12280,Valid,"Iron, IIIAB",194000.0,Found,1889.0,38.81667,-84.6,"(38.816670, -84.600000)"
Owens Valley,18061,Valid,"Iron, IIIAB",192800.0,Found,1913.0,37.46667,-118.0,"(37.466670, -118.000000)"
Guanghua,11434,Valid,"Iron, IVA",190000.0,Found,1932.0,32.4,111.7,"(32.400000, 111.700000)"
Admire,380,Valid,"Pallasite, PMG",180000.0,Found,1881.0,38.7,-96.1,"(38.700000, -96.100000)"
Travis County (a),24040,Valid,H5,175400.0,Found,1889.0,30.3,-97.7,"(30.300000, -97.700000)"
Iron Creek,12047,Valid,"Iron, IIIAB",175000.0,Found,1869.0,53.0,-112.0,"(53.000000, -112.000000)"
Zag,30384,Valid,H3-6,175000.0,Fell,1998.0,27.33333,-9.33333,"(27.333330, -9.333330)"
Tanokami Mountain,23872,Valid,"Iron, IIIE",174000.0,Found,1885.0,34.91667,135.96667,"(34.916670, 135.966670)"
Tamir-Tsetserleg,23799,Valid,Stone-uncl,173000.0,Found,1956.0,47.45,101.47917,"(47.450000, 101.479170)"
Owasco,18060,Valid,L6,168400.0,Found,1984.0,41.2,-103.68333,"(41.200000, -103.683330)"
Madoc,15381,Valid,"Iron, IIIAB",168000.0,Found,1854.0,44.5,-77.46667,"(44.500000, -77.466670)"
Manlai,15407,Valid,"Iron, ungrouped",166800.0,Found,1954.0,44.33333,106.5,"(44.333330, 106.500000)"
Djati-Pengilon,7652,Valid,H6,166000.0,Fell,1884.0,-7.5,111.5,"(-7.500000, 111.500000)"
Zaragoza,48916,Valid,"Iron, IVA-an",162000.0,Found,,41.65,-0.86667,"(41.650000, -0.866670)"
São Julião de Moreira,23172,Valid,"Iron, IIAB",162000.0,Found,1883.0,41.76611,-8.58361,"(41.766110, -8.583610)"
Knowles,12334,Valid,"Iron, IIIAB",161000.0,Found,1903.0,36.9,-100.21667,"(36.900000, -100.216670)"
Garabato,10856,Valid,H5,160000.0,Found,1995.0,-28.86667,-60.2,"(-28.866670, -60.200000)"
Qijiaojing,54610,Valid,"Iron, ungrouped",160000.0,Found,2003.0,43.75,92.91667,"(43.750000, 92.916670)"
Tenham,23897,Valid,L6,160000.0,Fell,1879.0,-25.73333,142.95,"(-25.733330, 142.950000)"
Mount Vernon,16806,Valid,"Pallasite, PMG",159000.0,Found,1868.0,36.93333,-87.4,"(36.933330, -87.400000)"
Longchang,14695,Valid,"Iron, IVA-an",158500.0,Found,1781.0,29.3,105.3,"(29.300000, 105.300000)"
Kimble County,12311,Valid,H6,153800.0,Found,1918.0,30.41667,-99.4,"(30.416670, -99.400000)"
Bluff (a),5087,Valid,L5,153300.0,Found,1878.0,29.87861,-96.87222,"(29.878610, -96.872220)"
Glasatovo,10926,Valid,H4,152000.0,Fell,1918.0,57.35,37.61667,"(57.350000, 37.616670)"
Forest City,10119,Valid,H5,152000.0,Fell,1890.0,43.25,-93.66667,"(43.250000, -93.666670)"
Yardymly,30352,Valid,"Iron, IAB complex",150200.0,Fell,1959.0,38.93333,48.25,"(38.933330, 48.250000)"
Magura,15388,Valid,"Iron, IAB-MG",150000.0,Found,1840.0,49.33333,19.48333,"(49.333330, 19.483330)"
Weston,24249,Valid,H4,150000.0,Fell,1807.0,41.266667,-73.266667,"(41.266667, -73.266667)"
Tres Castillos,24047,Valid,"Iron, ungrouped",150000.0,Found,1992.0,29.47,-105.8,"(29.470000, -105.800000)"
Jalu,12070,Valid,L6,150000.0,Found,2000.0,27.95833,21.68333,"(27.958330, 21.683330)"
Wiluna,24281,Valid,H5,150000.0,Fell,1967.0,-26.59278,120.32833,"(-26.592780, 120.328330)"
Olivenza,18013,Valid,LL5,150000.0,Fell,1924.0,38.71667,-7.06667,"(38.716670, -7.066670)"
McKinney,15463,Valid,L4,150000.0,Found,1870.0,33.18333,-96.71667,"(33.183330, -96.716670)"
Mbale,15455,Valid,L5/6,150000.0,Fell,1992.0,1.06667,34.16667,"(1.066670, 34.166670)"
Montferré,16727,Valid,H5,149000.0,Fell,1923.0,43.39056,1.9625,"(43.390560, 1.962500)"
Orange River (iron),18023,Valid,"Iron, IIIAB",148800.0,Found,1855.0,-30.0,25.0,"(-30.000000, 25.000000)"
Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000.0,Found,1884.0,35.6,-105.8,"(35.600000, -105.800000)"
Camp Wood,51830,Valid,"Iron, IIIAB",148000.0,Found,,29.7725,-99.875,"(29.772500, -99.875000)"
Gilgoin,10915,Valid,H5,147000.0,Found,1889.0,-30.38333,147.2,"(-30.383330, 147.200000)"
Wichita County,24257,Valid,"Iron, IAB-MG",145000.0,Found,1836.0,34.06667,-98.91667,"(34.066670, -98.916670)"
Molina,16715,Valid,H5,144000.0,Fell,1858.0,38.11667,-1.16667,"(38.116670, -1.166670)"
Keyes,12287,Valid,L6,142000.0,Found,1939.0,36.71667,-102.5,"(36.716670, -102.500000)"
El Sampal,7817,Valid,"Iron, IIIAB",142000.0,Found,1973.0,-44.53333,-70.36667,"(-44.533330, -70.366670)"
Tambo Quemado,23797,Valid,"Iron, IIIAB",141000.0,Found,1950.0,-14.66667,-74.5,"(-14.666670, -74.500000)"
Ysleta,30375,Valid,"Iron, ungrouped",140700.0,Found,1914.0,31.65,-106.18333,"(31.650000, -106.183330)"
Selma,23486,Valid,H4,140600.0,Found,1906.0,32.4,-87.0,"(32.400000, -87.000000)"
Korra Korrabes,12347,Valid,H3,140000.0,Found,1996.0,-25.2,18.08333,"(-25.200000, 18.083330)"
Huizopa,11985,Valid,"Iron, IVA",140000.0,Found,1907.0,28.9,-108.56667,"(28.900000, -108.566670)"
Ider,11999,Valid,"Iron, IIIAB",140000.0,Found,1957.0,34.68333,-85.65,"(34.683330, -85.650000)"
Brainard,5131,Valid,"Iron, IIIAB",138300.0,Found,1978.0,41.15333,-96.955,"(41.153330, -96.955000)"
Derrick Peak A78009,6685,Valid,"Iron, IIAB",138100.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
Cape of Good Hope,5261,Valid,"Iron, IVB",136000.0,Found,1793.0,-33.5,26.0,"(-33.500000, 26.000000)"
Babb's Mill (Blake's Iron),4915,Valid,"Iron, ungrouped",136000.0,Found,1876.0,36.3,-82.88333,"(36.300000, -82.883330)"
Kesen,12286,Valid,H4,135000.0,Fell,1850.0,38.98333,141.61667,"(38.983330, 141.616670)"
Colomera,5404,Valid,"Iron, IIE",134000.0,Found,1912.0,37.43333,-3.65,"(37.433330, -3.650000)"
Carnegie,5278,Valid,L6,132700.0,Found,1963.0,35.16667,-98.64389,"(35.166670, -98.643890)"
Araslanovo,2324,Valid,L/LL5,132000.0,Found,1973.0,55.14167,48.2,"(55.141670, 48.200000)"
Yenberrie,30361,Valid,"Iron, IAB-MG",132000.0,Found,1918.0,-14.25,132.01667,"(-14.250000, 132.016670)"
Karavannoe,56567,Valid,"Pallasite, PES",132000.0,Found,,57.78117,47.67967,"(57.781170, 47.679670)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800.0,Fell,1995.0,45.5,119.03333,"(45.500000, 119.033330)"
Chebankol,5335,Valid,"Iron, IAB-sHL",127760.0,Found,1938.0,53.66667,88.0,"(53.666670, 88.000000)"
