recclass,average_mass
L3.0,96.50500000000001
L3.0-3.7,50.1
L3.0-3.9,424.1
L3.00,81.0
L3.05,231.15
L3.1,876.1438461538462
L3.10,404.0
L3.2,1153.7913333333333
L3.2-3.5,351.7
L3.2-3.6,65.3
L3.3,442.1258823529412
L3.3-3.5,4.9
L3.3-3.6,203.3
L3.3-3.7,15.4
L3.4,273.9950980392157
L3.4-3.7,272.0
L3.5,561.3556818181819
L3.5-3.7,149.5
L3.5-3.8,73.0
L3.5-3.9,325.8
L3.5-5,5590.0
L3.6,1773.0595833333334
L3.6-4,153.2
L3.7,1082.17
L3.7-3.9,1470.0
L3.7-4,31.4
L3.7-6,6100.0
L3.7/3.8,350.0
L3.8,828.0681818181819
L3.8-5,345.55
L3.8-6,340.3333333333333
L3.8-an,14040.0
L3.9,1513.5466666666669
L3.9-5,31.94
L3.9-6,186.0
L3.9/4,402.0
L3/4,156.05916666666667
L4,1635.8802490023943
L4 ,66.01333333333334
L4-5,9275.753333333332
L4-6,70540.4712121212
L4-an,57.2
L4-melt breccia,5200.0
L4-melt rock,758.1
L4/5,1666.9852033898303
L5,1797.3517027534417
L5 ,12.959047619047618
L5-6,8938.002195121951
L5-7,929.4
L5-melt breccia,2198.6666666666665
L5/6,2302.9493577981652
L6,1450.444283729919
L6 ,30.348518518518517
L6-melt breccia,844.3399999999999
L6-melt rock,22000.0
L6/7,5855.368888888889
L7,661.4038095238096
LL,103.21022222222221
LL(L)3,995.2714285714285
LL(L)3.1,3200.0
LL-imp melt,92.64999999999999
LL-melt breccia,44.50611111111111
LL-melt rock,537.2571428571429
LL3,448.2764296875
LL3-4,383.0
LL3-5,113.565
LL3-6,2142.6355555555556
LL3.0,75.5575
LL3.00,691.0
LL3.05,128.0
LL3.1,1405.865
LL3.1-3.5,80.09999999999998
LL3.10,552.0666666666667
LL3.15,387.1033333333333
LL3.2,4478.7300000000005
LL3.3,645.5566666666667
LL3.4,1283.8229999999999
LL3.5,390.4858823529412
LL3.6,4852.049411764706
LL3.7,3452.7265384615384
LL3.7-6,226.806
LL3.8,603.8921428571429
LL3.8-4,3500.0
LL3.8-6,916.6666666666666
LL3.9,1586.9524999999999
LL3.9/4,18.6
LL3/4,1452.0
LL4,874.7136940298507
LL4-5,199.65
LL4-6,927.0535294117647
LL4/5,873.78
LL4/6,35.0
LL5,464.6758839479393
LL5-6,917.4825000000001
LL5-7,87.4
LL5/6,162.35625
LL6,691.8267361722957
LL6 ,155.595
LL6(?),293.6
LL6-an,2730.0
LL6-melt breccia,126.0
LL6/7,533.75
LL7,200.23454545454544
LL7(?),8.0
LL<3.5,200.0
LL~3,19.866666666666664
LL~4,28.7
LL~4/5,23.8
LL~5,60.53222222222222
LL~6,413.22200000000004
Lodranite,268.9335
Lodranite-an,13.8
Lunar,536.849268292683
Lunar (anorth),147.8678260869565
Lunar (bas. breccia),79.0
Lunar (bas/anor),5.585
Lunar (bas/gab brec),191.2
Lunar (basalt),1027.10875
Lunar (feldsp. breccia),500.5888888888889
Lunar (gabbro),413.5316666666667
Lunar (norite),633.0
L~3,362.7
L~4,376.18
L~4-6,45.0
L~5,805.2615625
L~6,555.9021276595745
Martian,9.3
Martian (OPX),1930.9
Martian (basaltic breccia),200.0
Martian (chassignite),2305.5
Martian (nakhlite),2058.714285714286
Martian (shergottite),879.0285353535353
Mesosiderite,4135.128588235294
Mesosiderite-A,6234.75
Mesosiderite-A1,698206.3333333334
Mesosiderite-A2,4949.0
Mesosiderite-A3,30666.666666666668
Mesosiderite-A3/4,320000.0
Mesosiderite-A4,19166.666666666668
Mesosiderite-B,2257.75
Mesosiderite-B1,1324.375
Mesosiderite-B2,11857.342
Mesosiderite-B4,359333.3333333333
Mesosiderite-C,34843.857142857145
Mesosiderite-C2,25613.0
Mesosiderite-an,2008.8166666666666
Mesosiderite?,414.0
OC,3133.0175342465755
OC3,940.7625
Pallasite,6319.56
"Pallasite, PES",42167.5
"Pallasite, PMG",147304.73684210525
"Pallasite, PMG-an",685358.9090909091
"Pallasite, ungrouped",7310.786
Pallasite?,14180.0
R,66.35333333333334
R3,87.74066666666667
R3-4,171.0
R3-5,604.2166666666667
R3-6,204.45
R3.4,10.5
R3.5-4,248.0
R3.5-6,205.0
R3.6,690.4666666666667
R3.7,236.0
R3.8,301.34666666666664
R3.8-5,174.0
R3.8-6,266.55
R3.9,3055.7475
R3/4,80.65
R4,226.04619047619047
R4/5,184.0
R5,1359.824
R6,61.89111111111111
Relict H,
Relict OC,0.0
Relict iron,0.0
Stone-uncl,10750.528333333332
Stone-ung,0.63
Unknown,
Ureilite,490.0149
Ureilite-an,1287.125
Ureilite-pmict,262.68565217391307
Winonaite,1129.0132
